,id,release_date,movie,production_budget,domestic_gross,total_gross,profitability
5226,27,1970-01-01,Beyond the Valley of the Dolls,1000000,9000000,9000000,9.0
4588,89,1970-01-01,M*A*S*H,3500000,81600000,81600000,23.314285714285713
3506,7,1970-01-01,The Molly Maguires,11000000,2200000,2200000,0.2
2445,46,1970-01-01,Darling Lili,22000000,5000000,5000000,0.22727272727272727
3356,57,1970-01-01,Patton,12000000,62500000,62500000,5.208333333333333
2327,28,1970-01-01,Waterloo,25000000,0,0,0.0
5407,8,1970-03-26,Woodstock,600000,34505110,34505110,57.508516666666665
4580,81,1970-05-13,The Ballad of Cable Hogue,3716946,3500000,5000000,1.3451903794136368
4682,83,1970-05-26,Beneath the Planet of the Apes,3000000,17489009,17489009,5.829669666666667
2798,99,1970-06-24,Catch-22,18000000,24911670,24911670,1.3839816666666667
2233,34,1970-09-23,"Tora, Tora, Tora",25000000,29548291,29548291,1.18193164
4092,93,1971-01-01,The Andromeda Strain,6500000,12376563,12376563,1.9040866153846154
3769,70,1971-01-01,Fiddler on the Roof,9000000,80500000,80500000,8.944444444444445
5357,58,1971-01-01,Billy Jack,800000,98000000,98000000,122.5
4819,20,1971-01-01,Escape from the Planet of the Apes,2500000,12300000,12300000,4.92
5655,56,1971-01-01,Sweet Sweetback's Baad Asssss Song,150000,15200000,15200000,101.33333333333333
4980,81,1971-04-28,Bananas,2000000,0,0,0.0
4715,16,1971-06-30,Willy Wonka & the Chocolate Factory,3000000,4000000,4000000,1.3333333333333333
4870,71,1971-10-09,The French Connection,2200000,41158757,41158757,18.70852590909091
3982,83,1971-12-17,Diamonds Are Forever,7200000,43800000,116000000,16.11111111111111
3986,87,1972-03-15,The Godfather,7000000,134966411,268500000,38.357142857142854
4601,2,1972-06-21,Frenzy,3500000,12600000,12600000,3.6
5745,46,1972-06-30,Deep Throat,25000,45000000,45000000,1800.0
5040,41,1972-06-30,Conquest of the Planet of the Apes,1700000,9700000,9700000,5.705882352941177
4892,93,1972-08-11,Everything You Always Wanted to Know,2000000,18016290,18016290,9.008145
5699,100,1972-08-30,The Last House on the Left,87000,3100000,3100000,35.632183908045974
4558,59,1972-11-09,1776,4000000,0,0,0.0
5019,20,1973-01-01,Battle for the Planet of the Apes,1800000,8800000,8800000,4.888888888888889
4415,16,1973-05-23,Pat Garrett and Billy the Kid,4638783,8000000,11000000,2.3713116134123973
3993,94,1973-06-27,Live and Let Die,7000000,35400000,161800000,23.114285714285714
