,id,year,movie,production_budget,domestic_gross,total_gross,profitability
5288,89,2000,The Specials,1000000,12996,12996,0.012996
3308,9,2000,The Claim,13000000,622023,1375635,0.10581807692307692
1863,64,2000,Rugrats in Paris,30000000,76501438,103284813,3.4428271
324,25,2000,The Patriot,110000000,113330342,215300000,1.9572727272727273
3891,92,2000,American Psycho,8000000,15070285,34270285,4.283785625
1345,46,2000,Chicken Run,42000000,106793915,227793915,5.423664642857143
4076,77,2000,Aim̩e & Jaguar,6800000,927107,927107,0.13633926470588234
4669,70,2000,The Original Kings of Comedy,3000000,38168022,38236338,12.745446
3258,59,2000,"Dude, Where's My Car?",13000000,46729374,73180297,5.6292536153846155
1776,77,2000,The Watcher,33000000,28946615,47267829,1.4323584545454546
3250,51,2000,Snow Day,13000000,60008303,62452927,4.804071307692308
1845,46,2000,Remember the Titans,30000000,115654751,136706683,4.556889433333334
1142,43,2000,The Replacements,50000000,44737059,50054511,1.00109022
3902,3,2000,Woman on Top,8000000,5018450,10192613,1.274076625
2373,74,2000,Final Destination,23000000,53302314,112036870,4.871168260869565
5136,37,2000,The Basket,1300000,609042,609042,0.46849384615384615
3903,4,2000,Held Up,8000000,4714090,4714090,0.58926125
354,55,2000,Gone in 60 Seconds,103300000,101643008,232643008,2.252110435624395
2350,51,2000,Nurse Betty,24000000,25170054,27732366,1.15551525
5268,69,2000,Luminarias,1000000,428535,428535,0.428535
1150,51,2000,The Beach,50000000,39778599,39778599,0.79557198
2356,57,2000,Ready to Rumble,24000000,12372410,12372410,0.5155170833333333
1397,98,2000,Scream 3,40000000,89138076,161838076,4.0459519
1200,1,2000,What Planet Are You From?,50000000,6291602,6291602,0.12583204
3800,1,2000,Beautiful,9000000,3134509,3134509,0.34827877777777777
1227,28,2000,Bedazzled,48000000,37879996,90376224,1.882838
5160,61,2000,You Can Count on Me,1200000,9180275,10827356,9.022796666666666
5258,59,2000,Fiza,1000000,623791,1179462,1.179462
2387,88,2000,The Crew,23000000,13019253,13019253,0.5660544782608695
4131,32,2000,Best in Show,6000000,18621249,20695413,3.4492355
379,80,2000,The Emperor's New Groove,100000000,89296573,169296573,1.69296573
284,85,2000,The Perfect Storm,120000000,182618434,328711434,2.73926195
2806,7,2000,Small Time Crooks,18000000,17266359,29934477,1.6630265
4060,61,2000,The Boondock Saints,7000000,30471,411874,0.058839142857142854
1766,67,2000,I Dreamed of Africa,34000000,6543194,14291999,0.4203529117647059
4154,55,2000,The Virgin Suicides,6000000,4859475,10619770,1.7699616666666667
5410,11,2000,Mercy Streets,600000,173599,173599,0.28933166666666665
1094,95,2000,Erin Brockovich,50000000,125548685,257805243,5.15610486
3213,14,2000,Gossip,14000000,5108820,12591270,0.8993764285714285
1336,37,2000,28 Days,43000000,37035515,62063972,1.4433481860465116
2376,77,2000,Pitch Black,23000000,39235088,53182088,2.312264695652174
1215,16,2000,Traffic,48000000,124107476,208300000,4.339583333333334
355,56,2000,Gladiator,103000000,187683805,457683805,4.443532087378641
3330,31,2000,Dancer in the Dark,12500000,4157491,45557491,3.64459928
4148,49,2000,Pollock,6000000,8596914,10557291,1.7595485
3898,99,2000,Shadow of the Vampire,8000000,8279017,8279017,1.034877125
